paper frequency,paper citation frequency,paper citation per paper,grant number,grant money,grant money per grant,grant series_u,grant series_r,grant series_t,grant series_p,grant duration per grant,author position,is_corresponding,patents frequency,patents citations frequency,actual,predicted
10.423076923076923,4818.7307692307695,462.31365313653134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.96153846153846,2.1923076923076925,0.07692307692307693,0.11538461538461539,1,1
0.0,0.0,47.436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
9.272727272727273,3123.2272727272725,336.8186274509804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.09090909090909,0.4090909090909091,0.13636363636363635,7.2272727272727275,1,1
0.6956521739130435,85.91304347826087,123.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6521739130434783,0.17391304347826086,0.0,0.0,1,1
12.026315789473685,2388.0789473684213,198.5711159737418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.236842105263158,1.868421052631579,0.0,0.0,1,1
1.5714285714285714,221.64285714285714,141.04545454545453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.428571428571429,0.0,0.07142857142857142,0.5714285714285714,1,1
2.090909090909091,325.09090909090907,155.47826086956522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.545454545454546,0.09090909090909091,0.0,0.0,1,1
4.2105263157894735,1695.921052631579,402.78125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7894736842105265,0.9473684210526315,0.0,0.0,1,1
13.875,1209.625,87.18018018018019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.625,2.0,0.5,9.25,1,1
3.347826086956522,452.0,135.01298701298703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.956521739130435,1.3478260869565217,0.0,0.0,1,1
6.454545454545454,654.7272727272727,101.43661971830986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.272727272727273,1.7272727272727273,0.0,0.0,1,1
0.0,0.0,79.26923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
3.3333333333333335,825.8095238095239,247.74285714285713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.428571428571429,0.9047619047619048,0.0,0.0,1,1
0.0,0.0,51.51948051948052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
4.043478260869565,535.304347826087,132.38709677419354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.565217391304348,0.8695652173913043,0.17391304347826086,0.2608695652173913,1,1
2.3333333333333335,449.8333333333333,192.78571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.333333333333334,0.0,0.0,0.0,1,1
0.7142857142857143,54.285714285714285,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1,1
1.8666666666666667,612.7333333333333,328.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.533333333333333,0.13333333333333333,0.0,0.0,1,1
3.054054054054054,300.9189189189189,98.53097345132744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.675675675675675,0.35135135135135137,0.0,0.0,1,1
5.222222222222222,434.1111111111111,83.12765957446808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.177777777777777,1.3555555555555556,0.0,0.0,1,1
0.0,0.0,79.91111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
20.16,14985.68,743.3373015873016,0.68,290155.4,426699.1176470588,1.0,16.0,0.0,0.0,9.352941176470589,52.8,3.12,0.24,0.4,1,1
2.933333333333333,1891.8666666666666,644.9545454545455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.733333333333333,0.8,0.0,0.0,1,1
5.173913043478261,377.6521739130435,72.99159663865547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.956521739130435,0.8695652173913043,0.13043478260869565,0.6521739130434783,1,1
0.0,0.0,47.275862068965516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
0.0,0.0,13.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
0.8333333333333334,149.5,179.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8333333333333335,0.16666666666666666,0.0,0.0,1,1
2.4615384615384617,234.96153846153845,95.453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.230769230769231,0.6538461538461539,0.0,0.0,1,1
7.791666666666667,959.875,123.19251336898395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.208333333333332,2.5833333333333335,0.0,0.0,1,1
16.875,3961.0,234.72592592592594,1.5,960064.875,640043.25,7.0,17.0,0.0,0.0,4.625,34.875,7.5,0.0,0.0,1,1
2.0555555555555554,284.6111111111111,138.45945945945945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.05555555555555555,0.0,0.0,1,1
2.8484848484848486,339.5151515151515,119.19148936170212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.212121212121212,0.42424242424242425,0.0,0.0,1,1
6.7555555555555555,2563.6,379.48026315789474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.333333333333334,1.1333333333333333,0.08888888888888889,2.022222222222222,1,1
